# Aspell Character Data File.  Do Not Edit!
koi8-r
0	other	0	0	0	0	0	0
1	other	1	1	1	0	1	1
2	other	2	2	2	0	2	2
3	other	3	3	3	0	3	3
4	other	4	4	4	0	4	4
5	other	5	5	5	0	5	5
6	other	6	6	6	0	6	6
7	other	7	7	7	0	7	7
8	other	8	8	8	0	8	8
9	space	9	9	9	0	9	9
10	space	10	10	10	0	10	10
11	space	11	11	11	0	11	11
12	space	12	12	12	0	12	12
13	space	13	13	13	0	13	13
14	other	14	14	14	0	14	14
15	other	15	15	15	0	15	15
16	other	16	16	16	0	16	16
17	other	17	17	17	0	17	17
18	other	18	18	18	0	18	18
19	other	19	19	19	0	19	19
20	other	20	20	20	0	20	20
21	other	21	21	21	0	21	21
22	other	22	22	22	0	22	22
23	other	23	23	23	0	23	23
24	other	24	24	24	0	24	24
25	other	25	25	25	0	25	25
26	other	26	26	26	0	26	26
27	other	27	27	27	0	27	27
28	other	28	28	28	0	28	28
29	other	29	29	29	0	29	29
30	other	30	30	30	0	30	30
31	other	31	31	31	0	31	31
32	space	32	32	32	0	32	32
33	other	33	33	33	0	33	33
34	other	34	34	34	0	34	34
35	other	35	35	35	0	35	35
36	other	36	36	36	0	36	36
37	other	37	37	37	0	37	37
38	other	38	38	38	0	38	38
39	other	39	39	39	0	39	39
40	other	40	40	40	0	40	40
41	other	41	41	41	0	41	41
42	other	42	42	42	0	42	42
43	other	43	43	43	0	43	43
44	other	44	44	44	0	44	44
45	other	45	45	45	0	45	45
46	other	46	46	46	0	46	46
47	other	47	47	47	0	47	47
48	other	48	48	48	0	48	48
49	other	49	49	49	0	49	49
50	other	50	50	50	0	50	50
51	other	51	51	51	0	51	51
52	other	52	52	52	0	52	52
53	other	53	53	53	0	53	53
54	other	54	54	54	0	54	54
55	other	55	55	55	0	55	55
56	other	56	56	56	0	56	56
57	other	57	57	57	0	57	57
58	other	58	58	58	0	58	58
59	other	59	59	59	0	59	59
60	other	60	60	60	0	60	60
61	other	61	61	61	0	61	61
62	other	62	62	62	0	62	62
63	other	63	63	63	0	63	63
64	other	64	64	64	0	64	64
65	letter	97	65	65	0	97	65
66	letter	98	66	66	66	98	66
67	letter	99	67	67	67	99	67
68	letter	100	68	68	68	100	68
69	letter	101	69	69	0	101	69
70	letter	102	70	70	70	102	70
71	letter	103	71	71	71	103	71
72	letter	104	72	72	72	104	72
73	letter	105	73	73	0	105	73
74	letter	106	74	74	74	106	74
75	letter	107	75	75	75	107	75
76	letter	108	76	76	76	108	76
77	letter	109	77	77	77	109	77
78	letter	110	78	78	78	110	78
79	letter	111	79	79	0	111	79
80	letter	112	80	80	80	112	80
81	letter	113	81	81	81	113	81
82	letter	114	82	82	82	114	82
83	letter	115	83	83	83	115	83
84	letter	116	84	84	84	116	84
85	letter	117	85	85	0	117	85
86	letter	118	86	86	86	118	86
87	letter	119	87	87	87	119	87
88	letter	120	88	88	88	120	88
89	letter	121	89	89	0	121	89
90	letter	122	90	90	90	122	90
91	other	91	91	91	0	91	91
